id_filme,nome_filme,ano_lanc_filme,ano_fim_filme,descricao_filme
1,Avatar,2009,2012,No seculo 22; um fuzileiro naval paraplegico e despachado para a lua Pandora em uma missao unica; mas fica dividido entre seguir ordens e proteger uma civilizacao alienigena.
2,Pirates of the Caribbean: At World's End,2007,2010,O capitao Barbossa; que ha muito se acredita estar morto; voltou a vida e esta indo para a periferia da Terra com Will Turner e Elizabeth Swann. Mas nada e exatamente como parece.
3,Spectre,2015,2018,Uma mensagem enigmatica do passado de Bond envia-o em uma trilha para descobrir uma organizacao sinistra. Enquanto M luta contra forcas politicas para manter o servico secreto vivo; Bond descobre as camadas de fraude para revelar a terrivel verdade por tras da SPECTRE.
4,The Dark Knight Rises,2012,2015,Apos a morte do Procurador Harvey Dent; Batman assume a responsabilidade pelos crimes de Dent para proteger a reputacao do advogado atrasado e e posteriormente perseguido pelo Departamento de Policia de Gotham City. Oito anos depois; Batman encontra a misteriosa Selina Kyle e o vilao Bane; um novo lider terrorista que supera o melhor de Gotham. O Cavaleiro das Trevas ressurge para proteger uma cidade que o marcou como um inimigo.
5,John Carter,2012,2015,John Carter e um ex-capitao militar cansado da guerra que e inexplicavelmente transportado para o planeta misterioso e exotico de Barsoom (Marte) e relutantemente se envolve em um conflito epico. E um mundo a beira do colapso; e Carter redescobre sua humanidade quando percebe que a sobrevivencia de Barsoom e seu povo esta em suas maos.
6,Spider-Man 3,2007,2010,O aparentemente invencivel Homem-Aranha enfrenta uma nova safra de vilao - incluindo o Sandman que muda de forma. Enquanto os superpoderes do Homem-Aranha sao alterados por um organismo alienigena; seu alter ego; Peter Parker; lida com o inimigo Eddie Brock e tambem fica preso em um triangulo amoroso.
7,Tangled,2010,2013,Quando o mais procurado e mais charmoso bandido Flynn Rider do reino se esconde em uma misteriosa torre; ele e feito refem por Rapunzel; uma linda e resoluta adolescente com dezoito metros de cabelo dourado e magico. A curiosa cacadora de Flynn; que esta procurando seu ingresso para fora da torre onde ela esta trancada ha anos; faz um acordo com o ladrao bonito e a improvavel dupla parte para uma aventura repleta de acao; completa com um cavalo super-policial; um camaleao super-protetor e uma gangue de bandidos de pubs.
8,Avengers: Age of Ultron,2015,2018,Quando Tony Stark tenta iniciar um programa inoperante de manutencao da paz; as coisas dao errado e os Herois Mais Poderosos da Terra sao submetidos ao teste final; pois o destino do planeta esta em risco. Como o vilao Ultron emerge; cabe aos Vingadores para impedi-lo de aprovar seus planos terriveis; e aliancas e acoes inesperadas logo abrem o caminho para uma aventura global unica e epica.
9,Harry Potter and the Half-Blood Prince,2009,2012,Enquanto Harry comeca seu sexto ano em Hogwarts; ele descobre um livro antigo marcado como Propriedade do Enigma do Principe e comeca a aprender mais sobre o passado sombrio de Lord Voldemort.
10,Batman v Superman: Dawn of Justice,2016,2019,Temendo que as acoes de um super-heroi divino nao tenham sido travadas; o formidavel e vigoroso vigilante de Gotham City enfrenta o salvador mais reverenciado de Metropolis; enquanto o mundo luta com o tipo de heroi que realmente precisa. E com Batman e Superman em guerra um com o outro; uma nova ameaca rapidamente surge; colocando a humanidade em maior perigo do que nunca.
11,Superman Returns,2006,2009,Superman retorna para descobrir que sua ausencia de 5 anos permitiu que Lex Luthor andasse livre; e que aqueles que ele era o mais proximo tambem se sentiram abandonados e seguiram em frente. Luthor trama sua vinganca final que poderia ver milhoes de mortos e mudar a face do planeta para sempre; assim como livrar-se do Homem de Aco.
12,Quantum of Solace,2008,2011,Quantum of Solace continua as aventuras de James Bond apos Casino Royale. Traido por Vesper; a mulher que ele amava; 007 luta contra o desejo de tornar sua ultima missao pessoal. Perseguindo sua determinacao de descobrir a verdade; Bond e M interrogam White; que revela que a organizacao que chantageou Vesper e muito mais complexa e perigosa do que se imaginava.
13,Pirates of the Caribbean: Dead Man's Chest,2006,2009,O capitao Jack Sparrow consegue sair de uma divida de sangue com o fantasmagorico Davey Jones; ele tambem tenta evitar a condenacao eterna.
14,The Lone Ranger,2013,2016,Os Texas Rangers perseguem uma gangue de foras-da-lei liderada por Butch Cavendish; mas a gangue embosca os Rangers; aparentemente matando todos eles. Um sobrevivente e encontrado; no entanto; por um indio americano chamado Tonto; que o nutre de volta a saude. O Ranger; vestindo uma mascara e montando um garanhao branco chamado Silver; se junta a Tonto para levar a gangue inescrupulosa e outros daquela turma a justica.
15,Man of Steel,2013,2016,Um jovem menino aprende que ele tem poderes extraordinarios e nao e desta terra. Quando jovem; ele viaja para descobrir de onde veio e para o que foi enviado para fazer. Mas o heroi nele deve emergir se quiser salvar o mundo da aniquilacao e se tornar o simbolo de esperanca para toda a humanidade.
16,The Chronicles of Narnia: Prince Caspian,2008,2011,Um ano depois de suas incriveis aventuras no Leao; a Feiticeira e o Guarda-Roupa; Peter; Edmund; Lucy e Susan Pevensie retornam a Narnia para ajudar um jovem principe cuja vida foi ameacada pelo malvado rei Miraz. Agora; com a ajuda de um elenco colorido de novos personagens; incluindo Trufflehunter; o texugo; e Nikabrik; o anao; o cla Pevensie embarca em uma incrivel missao para garantir que Narnia seja devolvida ao seu legitimo herdeiro.
17,The Avengers,2012,2015,Quando um inimigo inesperado emerge e ameaca a seguranca global; Nick Fury; diretor da agencia internacional de manutencao da paz conhecida como S.H.I.E.L.D.; precisa de uma equipe para afastar o mundo da beira do desastre. Abrangendo o mundo; um esforco de recrutamento ousado comeca!
18,Pirates of the Caribbean: On Stranger Tides,2011,2014,Capitao Jack Sparrow cruza caminhos com uma mulher de seu passado; e ele nao tem certeza se e amor - ou se ela e uma vigarista implacavel que o esta usando para encontrar a lendaria Fonte da Juventude. Quando ela o forca a bordo do Queen Anne's Revenge; o navio do formidavel pirata Barba Negra; Jack se encontra em uma inesperada aventura em que ele nao sabe mais quem temer: Barba Negra ou a mulher de seu passado.
19,Men in Black 3,2012,2015,Os agentes J (Will Smith) e K (Tommy Lee Jones) estao de volta ... no tempo. J viu algumas coisas inexplicaveis ??em seus 15 anos com os Homens de Preto; mas nada; nem mesmo alienigenas; o deixa perplexo tanto quanto seu parceiro torto e reticente. Mas quando a vida de K e o destino do planeta sao colocados em risco; o Agente J tera que viajar de volta no tempo para consertar as coisas. J descobre que ha segredos para o universo que K nunca disse a ele - segredos que se revelarao quando ele se unir ao jovem agente K (Josh Brolin) para salvar seu parceiro; a agencia e o futuro da humanidade.
20,The Hobbit: The Battle of the Five Armies,2014,2017,Imediatamente apos os eventos da Desolacao de Smaug; Bilbo e os anoes tentam defender a montanha de tesouros de Erebor de outros que a reivindicam: os homens do Laketown arruinado e os elfos da Floresta das Trevas. Enquanto isso; um exercito de orcs liderados por Azog; o Destruidor; esta marchando sobre Erebor; alimentado pela ascensao do Lorde das Trevas; Sauron. Anoes; elfos e homens devem se unir; e a esperanca pela Terra-Media cai nas maos de Bilbo.
21,The Amazing Spider-Man,2012,2015,Peter Parker e um ex-aluno abandonado por seus pais quando menino; deixando-o para ser criado por seu tio Ben e tia May. Como a maioria dos adolescentes; Peter esta tentando descobrir quem ele e e como ele chegou a ser a pessoa que ele e hoje. Enquanto Peter descobre uma misteriosa pasta que pertenceu a seu pai; ele comeca uma busca para entender o desaparecimento de seus pais - levando-o diretamente para a Oscorp e o laboratorio do Dr. Curt Connors; ex-parceiro de seu pai. Enquanto o Homem-Aranha e colocado em rota de colisao com o alter ego de Connors; O Lagarto; Peter fara escolhas que alteram a vida para usar seus poderes e moldar seu destino para se tornar um heroi.
22,Robin Hood,2010,2013,Quando o soldado Robin se depara com o moribundo Robert de Loxley; ele promete devolver a espada do homem para sua familia em Nottingham. La; ele assume a identidade de Robert; romances sua viuva; Marion; e atrai a ira do xerife da cidade e do capanga do rei John; Godfrey.
23,The Hobbit: The Desolation of Smaug,2013,2016,Os Anoes; Bilbo e Gandalf escaparam com sucesso das Montanhas Sombrias e Bilbo ganhou o Um Anel. Todos eles continuam sua jornada para recuperar seu ouro do Dragao; Smaug.
24,The Golden Compass,2007,2010,Depois de escutar um segredo chocante; Lyra Belacqua; orfa precoce; troca sua existencia despreocupada; perambulando pelos corredores do Jordan College por uma aventura sobrenatural no extremo norte; sem saber que e parte de seu destino.
25,King Kong,2005,2008,Em 1933; Nova York; um produtor de cinema excessivamente ambicioso; coagiu seu elenco e contratou a tripulacao do navio para viajar ate a misteriosa Skull Island; onde eles encontraram Kong; um macaco gigante que e imediatamente ferido com a protagonista.
26,Titanic,1997,2000,84 anos depois; uma mulher de 101 anos chamada Rose DeWitt Bukater conta a historia a sua neta Lizzy Calvert; Brock Lovett; Lewis Bodine; Bobby Buell e Anatoly Mikailavich no Keldysh sobre sua vida em 10 de abril de 1912; em um navio chamado Titanic quando a jovem Rose embarca no navio de partida com os passageiros da classe alta e sua mae; Ruth DeWitt Bukater; e seu noivo; Caledon Hockley. Enquanto isso; um vagabundo e artista chamado Jack Dawson e seu melhor amigo Fabrizio De Rossi ganham ingressos de terceira classe para o navio em um jogo. E ela explica toda a historia desde a partida ate a morte do Titanic em sua primeira e ultima viagem em 15 de abril de 1912 as 2:20 da manha.
27,Captain America: Civil War,2016,2019,Apos os eventos de Age of Ultron; os governos coletivos do mundo aprovam um ato destinado a regular toda atividade sobre-humana. Isso polariza a opiniao entre os Vingadores; fazendo com que duas faccoes se alinhem com o Homem de Ferro ou o Capitao America; o que causa uma batalha epica entre os ex-aliados.
28,Battleship,2012,2015,Quando a humanidade transmite um sinal de radio para o espaco; uma resposta vem do ?Planeta G?; na forma de varios oficios alienigenas que caem nas aguas do Havai. O tenente Alex Hopper e um oficial de armas designado para o USS John Paul Jones; parte de uma coalizao naval internacional que se torna a ultima esperanca mundial de sobrevivencia
